        load_SSE_16B; 1; 16.000, 0.016, 0.000; 307.178; 388.837; 323.875; 313.456;   6.526 %; 47.113
        load_SSE_32B; 3; 16.000, 0.016, 0.000; 455.812; 482.291; 462.518; 460.204;   1.273 %; 32.991
        load_SSE_64B; 3; 16.000, 0.016, 0.000; 155.604; 167.849; 160.299; 159.128;   1.904 %; 95.189
       load_SSE_128B; 4; 16.000, 0.016, 0.000; 155.370; 177.049; 161.690; 160.069;   2.934 %; 94.371
        load_AVX_32B; 0; 16.000, 0.016, 0.000; 155.851; 168.927; 160.459; 159.512;   1.912 %; 95.095
        load_AVX_64B; 1; 16.000, 0.016, 0.000; 233.162; 266.585; 243.949; 243.309;   2.813 %; 62.549
       load_AVX_128B; 1; 16.000, 0.016, 0.000; 82.189; 99.829; 89.185; 87.777;   5.769 %; 171.092
       load_AVX_256B; 2; 16.000, 0.016, 0.000; 81.528; 91.850; 85.351; 85.503;   2.399 %; 178.778
